name	type	supertype	subtype	race	class	talent	faction	keywords	allowedtalent	allowedclass	cost	strikecost	rules	flavor	atk	atktype	health	def	number	rarity	artistname	artisturl	setname
Earthseer Nakza	Hero			Goblin	Shaman		Horde						"FRONT: 4 -> Flip Nakza<br>BACK: At the start of your turn, Nakza may heal all damage from target ally you control."				28		15	U			ToD
Flame Keeper Rizzli	Hero			Goblin	Mage		Horde						"FRONT: 5 -> Flip Rizzli<br>BACK: At the start of your turn, Rizzli may deal fire damage to target hero or ally equal to the ATK of a [Fire] ally you control"				25		16	U			ToD
Samael the Bloodpoint	Hero			Undead	Hunter		Horde						FRONT: 2 -> Flip Samael<br>BACK: Ranged weapons you control have <b>Assault 1</b>. <i>(They have +1 ATK on your turn.)</i>				28		17	U			ToD
"Sumi'jin, Guardian of Cenarius"	Hero			Troll	Druid		Horde						"FRONT: 3 -> Flip Sumi'jin<br>BACK: When an ally enters play under your control, Sumi'jin may heal 1 damage from herself."				27		18	U			ToD
Suncaller Haruh	Hero			Tauren	Priest		Horde						FRONT: 2 -> Flip Haruh<br>BACK: (Haruh has +5 [Health])				27		19	U			ToD
Zazel the Greedy	Hero			Goblin	Rogue		Horde						FRONT: 6 -> Flip Zazel<br>BACK: <b><b>Assault 2</b> </b><i>(Zazel has +2 ATK on your turn.)</i>				27		20	U			ToD
Deathwing the Destroyer	Master Hero			Black Dragonkin	Aspect		Neutral				60		"As an additional cost to play, destroy any number of cards you control. You pay 5 less to play Deathwing for each card destroyed this way.<br><b>Assault 5</b><br>At the start of your turn, target opponent destroys two cards he controls."		0	Fire	40		21	E			ToD
Black Death	Ability		Disease			Unholy	Neutral			Death Knight	2		"Attach to target opposing hero.<br><b>Ongoing:</b> At the start of your turn, your hero deals 1 shadow damage to attached hero, or 2 if there are no allies in its party."						22	U			ToD
Dark Simulacrum	Ability					Blood	Neutral			Death Knight	4		Play target ability in an opposing graveyard immediately without paying its cost.						23	R			ToD
Favor of Undeath	Ability					Blood	Neutral			Death Knight	1		"Attach to target friendly ally. <br><b>Ongoing:</b> Attached ally has <b>Assault 2</b>.<br>When attached ally is destroyed, target opposing ally has -1 [Health] this turn."						24	C			ToD
Frozen Core	Ability					Frost	Neutral			Death Knight	1		Attach to target ally.<br><b>Ongoing:</b> Attached ally has -2 / -2.						25	C			ToD
Glacial Strike	Ability					Frost	Neutral			Death Knight	3		Your hero deals 5 frost damage to target ally.						26	C			ToD
Hungering Cold	Ability					Frost	Neutral		Frost	Death Knight	4		"<b>Frost Talent </b><i>(You can't put Blood Talents or Unholy Talents in your deck.)</i><br><b>Ongoing:</b> When an opposing hero or ally exhausts, your hero deals 1 frost damage to it."						27	R			ToD
Necrotic Strike	Ability	Instant				Unholy	Neutral			Death Knight	3		You pay 3 less to play this ability if an opposing hero or ally was healed this turn.<br>Your hero deals 3 shadow damage to target hero or ally.						28	U			ToD
Twisted Death Pact	Ability	Instant				Blood	Neutral			Death Knight	2		"As an additional cost to play this ability, destroy an ability, ally, or equipment you control.<br>Put a 3 [Melee] / 3 [Health] Ghoul ally token into play."						29	U			ToD
Favor of Nature	Ability					Balance	Neutral			Druid	2		"Attach to target friendly ally.<br><b>Ongoing:</b> Attached ally has <b><b>Assault 2</b></b>.<br>When attached ally is destroyed, put two 1 [Melee] / 1 [Health] Treant ally tokens into play."						30	C			ToD
Fierce Cat Form	Ability	Instant	Cat Form			Feral	Neutral	Form (1)		Druid	3		Target ally has <b>Assault 2</b> this turn.<br><b>Ongoing:</b> Your hero has <b>Assault 1</b>.						31	U			ToD
Living Roots	Ability					Balance	Neutral			Druid	1		Attach to target ally.<br><b>Ongoing:</b> Attached ally can't attack or exhaust unless its controller pays 2.						32	C			ToD
Rebirth	Ability	Instant				Restoration	Neutral			Druid	5		Put target ally card from your graveyard into play if its costs is less than or equal to the number of resources you control.						33	U			ToD
Tears of Aessina	Ability	Instant				Restoration	Neutral			Druid	1		Your hero heals 2 damage from each of up to two target heroes and/or allies.						34	C			ToD
Twisted Wrath	Ability	Instant				Balance	Neutral			Druid	2		"As an additional cost to play this ability, destroy an ability, ally, or equipment you control.<br>Your hero deals 5 nature damage to target hero."						35	U			ToD
Wild Growth	Ability	Instant				Restoration	Neutral		Restoration	Druid	1		"<b>Restoration Talent </b><i>(You can't put Balance Talents or Feral Talents in your deck.)</i><br>Your hero heals all damage from each ally you control. Then, this ability enters play with a growth counter for each ally healed this way.<br><b>Ongoing:</b"						36	R			ToD
Wild Mushroom	Ability					Balance	Neutral			Druid	3		"This ability enters play with three fungus counters.<br><b>Ongoing:</b> At the start of your turn, remove a fungus counter form this ability. If none remain, destroy this ability. If you do, your hero deals 5 nature damage to target hero, plus an addition"						37	R			ToD
Camouflage	Ability					Survival	Neutral			Hunter	4		"<b>Ongoing:</b> On your turn: 2, [Exhaust] -> Remove target ally you control from the game. If you do, put it into play under your control at the end of the next opponent's turn."						38	R			ToD
Cinder	Ally			Dragonhawk			Neutral	Pet (1)		Hunter	2		"At the start of your turn, this ally may deal 1 fire damage to target hero or ally."		4	Fire	2		39	C			ToD
Disengage	Ability	Instant				Survival	Neutral			Hunter	1		"Remove target attacker from combat, and your hero deals 1 ranged damage to it."						40	C			ToD
Explosive Hunt	Ability	Instant				Survival	Neutral			Hunter	3		"Your hero deals 8 fire damage to target Demon, Dragonkin, or Elemental ally."						41	U			ToD
Favor of the Hunt	Ability					Survival	Neutral			Hunter	2		"Attach to target friendly ally. <br><b>Ongoing:</b> Attached ally has <b>Assault 2</b>.<br>When attached ally is destroyed, your hero deals 2 fire damage to target hero or ally."						42	C			ToD
Immolation Trap	Ability	Instant				Survival	Neutral			Hunter	3		"<b>Trap </b><i>(You may exhaust your defending hero rather than pay this card's cost.)</i><br>Attach to target attacking hero or ally.<br><b>Ongoing:</b> At the start of your turn, your hero deals 2 fire damage to attached character."						43	U			ToD
Master Marksman	Ability					Marksmanship	Neutral		Marksmanship	Hunter	2		"<b>Marksmanship Talent </b><i>(You can't put Beast Mastery or Survival Talents in your deck.)</i><br><b>Ongoing:</b> Your hero has <b>Ranged Dual Wield</b><br>.Ranged weapons you control have +1 ATK, and you pay 1 less to strike with them."						44	R			ToD
Nag the Twisted	Ally			Snake			Neutral	Pet (1)		Hunter	6		"As an additional cost to play this ally, destroy an ability, ally, or equipment you control.<br>When this ally enters play, you may destroy target ally or equipment with cost 4 or more."		6	Nature	4		45	U			ToD
Blazing Debris	Ability	Instant				Fire	Neutral			Mage	5		Your hero deals 3 fire damage to each of up to two heroes and/or allies.						46	C			ToD
Favor of the Arcane	Ability					Arcane	Neutral			Mage	1		"Attach to target friendly ally.<br><b>Ongoing:</b> Attached ally has <b>Assault 2</b>.<br>When attached ally is destroyed, draw a card."						47	C			ToD
Fireball	Ability					Fire	Neutral			Mage	4		"Attach to target hero or ally, and your hero deals 4 fire damage to it.<br><b>Ongoing:</b> At the start of your turn, your hero deals 1 fire damage to attached character."						48	U			ToD
Flame Orb	Ability					Fire	Neutral			Mage	2		"Attach to target opposing hero.<br><b>Ongoing:</b> At the start of your turn, add an ember counter to this ability, and your hero deals 1 fire damage to attached hero. Then, you may destroy this ability. If you do, your hero deals 1 fire damage to target "						49	R			ToD
Glaciate	Ability	Instant				Frost	Neutral			Mage	1		Target opposing ally can't attack this turn. Draw a card.						50	C			ToD
Pyromaniac	Ability					Fire	Neutral		Fire	Mage	10		<b>Fire Talent </b><i>(You can't put Arcane Talents or Frost Talents in your deck.)</i><br>You pay 1 less to play this ability for each [Fire] card you control.<br>Your hero deals 10 fire damage to target hero or ally.						51	R			ToD
Ring of Frost	Ability					Frost	Neutral			Mage	3		Your hero deals 2 frost damage to each ready opposing ally.						52	U			ToD
Twisted Arcana	Ability	Instant				Arcane	Neutral			Mage	1		"As an additional cost to play this ability, destroy an ability, ally, or equipment you control.<br>Draw two cards."						53	U			ToD
Beacon of Light	Ability	Instant				Holy	Neutral		Holy	Paladin	2		"<b>Holy Talent </b><i>(You can't put Protection Talents or Retribution Talents in your deck.)</i><br>Attach to target ally.<br><b>Ongoing:</b> When damage is healed from a hero or ally you control, add that many light counters to this ability.<br>Attached"						54	R			ToD
Blessing of Might	Ability	Instant	Blessing			Retribution	Neutral			Paladin	2		Attach to target hero or ally.<br><b>Ongoing:</b> Attached character has +1 ATK while attacking.						55	U			ToD
Favor of the Light	Ability		Blessing			Holy	Neutral			Paladin	1		"Attach to target friendly ally. <br><b>Ongoing:</b> Attached ally has <b>Assault 2</b>.<br>When attached ally is destroyed, your hero heals 5 damage from target hero or ally."						56	C			ToD
Guardian of Ancient Kings	Ally			Spirit	Guardian		Neutral	Pet (1)		Paladin	2		"While you control a Holy ability, this ally has <b>Mend 2</b>.<br>While you control a Protection ability, this ally has <b>Protector</b>.<br>While you control a Retribution ability, this ally has <b>Assault 2</b>."		2	Holy	4		57	R			ToD
Hammer of Retribution	Ability	Instant				Retribution	Neutral			Paladin	2		Exhaust up to three target heroes and/or allies.						58	C			ToD
Hand of Protection	Ability	Instant				Protection	Neutral			Paladin	2		"The next time target ally would be dealt damage this turn, prevent it."						59	C			ToD
Twisted Light	Ability	Instant				Holy	Neutral			Paladin	2		"As an additional cost to play this ability, destroy an ability, ally, or equipment you control.<br>Prevent the next 3 damage that target friendly hero or ally would be dealt this turn.<br>Your hero deals 3 unpreventable holy damage to target opposing hero"						60	U			ToD
Word of Glory	Ability					Holy	Neutral			Paladin	3		<b>Ongoing:</b> Your hero has <b>Protector</b> and <b>Mend 1</b>.						61	U			ToD
Favor of Spirit	Ability					Discipline	Neutral			Priest	1		"Attach to target friendly ally.<br><b>Ongoing:</b> Attached ally has <b><b>Assault 2</b></b>.<br>When attached ally is destroyed, you may destroy target ability."						62	C			ToD
Heal	Ability					Holy	Neutral			Priest	2		Your hero heals 7 damage from target hero or ally.						63	U			ToD
Holy Blaze	Ability					Holy	Neutral			Priest	6		Your hero deals 4 unpreventable holy damage to each of up to two target allies.						64	U			ToD
Inner Will	Ability					Discipline	Neutral			Priest	3		"You pay [X] less to play your next card this turn, where X is the highest cost among abilities, allies, and equipment you control."						65	R			ToD
Power Word: Absorb	Ability	Instant				Discipline	Neutral			Priest	3		"The next time damage would be dealt to target hero or ally this turn, prevent it. Draw a card."						66	C			ToD
Power Word: Barrier	Ability	Instant				Discipline	Neutral		Discipline	Priest	1		"<b>Discipline Talent </b><i>(You can't put Holy Talents or Shadow Talents in your deck.)</i><br>This ability enters play with two bubble counters on it.<br><b>Ongoing:</b> If a hero or ally you control would be dealt damage, remove a bubble counter from t"						67	R			ToD
Psychic Melt	Ability	Instant				Shadow	Neutral			Priest	4		Target opponent chooses and destroys an ally he controls.						68	C			ToD
Twisted Mind Spike	Ability					Shadow	Neutral			Priest	1		"As an additional cost to play this ability, destroy an ability, ally, or equipment you control.<br>Your hero deals 3 shadow damage to target ally. Then, its controller discards a card."						69	U			ToD
Break Steel	Ability					Assassination	Neutral			Rogue	1		"Destroy target exhausted equipment. If you do, your hero deals 2 melee damage to its controller's hero."						70	C			ToD
Favor of Mischief	Ability					Subtlety	Neutral			Rogue	1		"Attach to target friendly ally.<br><b>Ongoing:</b> Attached ally has <b><b>Assault 2</b></b>.<br>When attached ally is destroyed, target opponent discards a card."						71	C			ToD
Mind-Numbing Poison	Ability	Instant	Poison				Neutral			Rogue	3		"Attach to target hero that was dealt combat damage by your hero this turn.<br><b>Ongoing:</b> At the start of attached hero's controller's turn, that player exhausts a ready resource he controls."						72	U			ToD
Revealing Strike	Ability					Combat	Neutral		Combat	Rogue	3		"<b>Combat Talent </b><i>(You can't put Assassination Talents or Subtlety Talents in your deck.)</i><br>Target opponent reveals the top card of his deck, and then he reveals his hand and discards all cards that share a card type with the revealed card."						73	R			ToD
Smoke Bomb	Ability					Subtlety	Neutral			Rogue	4		<b>Ongoing:</b> Opposing heroes and allies attack at random.<br>Opponents pay 2 more to play abilities that target a hero or ally you control.						74	R			ToD
Swindle	Ability					Subtlety	Neutral			Rogue	1		Ready and gain control of target opposing equipment until end of turn.						75	U			ToD
Twisted Massacre	Ability					Assassination	Neutral			Rogue	5		"As an additional cost to play this ability, destroy an ability, ally, or equipment you control.<br>Destroy all exhausted opposing allies."						76	U			ToD
Vicious Strike	Ability	Instant				Combat	Neutral			Rogue	1		Your hero deals 3 melee damage to target ally with cost 4 or less.						77	C			ToD
Burning Winds	Ability					Elemental	Neutral			Shaman	3		"If you control one or more non-token [Fire] allies, put an X [Fire] / X [Health] Fire Elemental ally token into play, where X is the highest cost among [Fire] allies you control.<br>If you control one or more non-token [Nature] allies, put an X [Nature] /"						78	R			ToD
Cleanse Spirit	Ability					Restoration	Neutral			Shaman	2		"Destroy target ability. If you do, your hero heals 3 damage from target hero or ally."						79	C			ToD
Favor of the Elements	Ability					Elemental	Neutral			Shaman	2		"Attach to target friendly ally. <br><b>Ongoing:</b> Attached ally has <b>Assault 2</b>.<br>When attached ally is destroyed, your hero deals 3 fire damage to target hero."						80	C			ToD
Flametongue Weapon	Ability	Instant				Enhancement	Neutral			Shaman	2		"Attach to target Melee weapon you control.<br><b>Ongoing:</b> When you strike with attached weapon, your hero deals 1 fire damage to target hero or ally."						81	U			ToD
Inferno Totem	Ability Ally					Elemental	Neutral	Fire Totem (1)		Shaman	2		"At the start of your turn, this Totem deals 4 fire damage to target opposing hero.<br><i>(Totems can't attack.)</i>"		0	Fire	3		82	U			ToD
Primal Strike	Ability	Instant				Enhancement	Neutral			Shaman	1		Target ally or weapon has +3 ATK this turn.						83	C			ToD
Riptide	Ability					Restoration	Neutral		Restoration	Shaman	2		"<b>Restoration Talent </b><i>(You can't put Elemental Talents or Enhancement Talents in your deck.)</i><br>Your hero heals 5 damage from target hero or ally. Then, this ability enters play with a tide counter for each damage healed this way.<br><b>Ongoing"						84	R			ToD
Twisted Fire Nova	Ability					Elemental	Neutral			Shaman	5		"As an additional cost to play this ability, destroy an ability, ally, or equipment you control.<br>Your hero deals 7 fire damage divided as you choose to any number of target heroes and/or allies."						85	U			ToD
Chaos Bolt	Ability					Destruction	Neutral		Destruction	Warlock	2		"<b>Destruction Talent </b><i>(You can't put Affliction Talents or Demonology Talents in your deck.)</i><br>Reveal the top card of target opponent's deck and remove it from the game. If it's an ability, ally, or equipment, your hero deals shadow damage to "						86	R			ToD
Demonic Corruption	Ability	Instant				Demonology	Neutral			Warlock	3		"When the next opposing ally enters play this turn, put a token copy of that ally into play under your control. That copy is also a Demon."						87	R			ToD
Favor of the Nether	Ability					Destruction	Neutral			Warlock	2		"Attach to target friendly ally. <br><b>Ongoing:</b> Attached ally has <b>Assault 2</b>.<br>When attached ally is destroyed, your hero deals 1 fire damage to each opposing hero and ally."						88	C			ToD
Fel Immolation	Ability	Instant				Destruction	Neutral			Warlock	5		"Attach to target hero, and your hero deals 2 fire damage to it. <br><b>Ongoing:</b> At the start of your turn, your hero deals 2 fire damage to attached hero."						89	C			ToD
Incinerate	Ability					Destruction	Neutral			Warlock	2		"Your hero deals 2 fire damage to target hero or ally, or 4 if your hero dealt fire damage with an ability to that character this turn."						90	U			ToD
Selora	Ally			Succubus	Demon		Neutral	Pet (1)		Warlock	2		"<b>Elusive </b><i>(This ally can’t be attacked.)</i><br>When this ally enters play, target ally has +1 / -1 this turn."		2	Shadow	2		91	C			ToD
Twisted Infernal	Ally			Infernal	Demon		Neutral	Pet (1)		Warlock	7		"As an additional cost to play this ally, destroy an ability, ally, or equipment you control.<br><b>Ferocity </b><i>(This ally can attack immediately.)</i>"		8	Fire	8		92	U			ToD
Void Rip	Ability	Instant				Destruction	Neutral			Warlock	4		Remove target ally from the game.						93	U			ToD
Colossus Smash	Ability					Arms	Neutral			Warrior	5		"Put a 5 [Melee] / 5 [Health] Colossus Warrior ally token into play.<br><b>Ongoing:</b> Whenever an ally you control with 5 or more ATK is destroyed, you may destroy target equipment."						94	R			ToD
Demoralizing Strike	Ability	Instant				Fury	Neutral			Warrior	2		Target ally or weapon has -3 ATK this turn.						95	C			ToD
Executioner's Mark	Ability					Fury	Neutral			Warrior	1		"Attach to target ally.<br><b>Ongoing:</b> When attached ally is dealt damage, destroy it."						96	C			ToD
Favor of Steel	Ability					Protection	Neutral			Warrior	2		"Attach to target friendly ally.<br><b>Ongoing:</b> Attached ally has <b>Assault 2</b>.<br>When attached ally is destroyed, you may destroy target equipment."						97	C			ToD
Heroic Leap	Ability	Instant				Fury	Neutral			Warrior	2		Exhaust up to two target heroes and/or allies. Your hero deals 1 melee damage to each character exhausted this way.						98	U			ToD
Shockwave	Ability					Protection	Neutral		Protection	Warrior	2		<b>Protection Talent </b><i>(You can't put Arms Talents or Fury Talents in your deck.)</i><br>Put target ally on top of its owner's deck. Your hero deals melee damage equal to that ally's cost to its controller's hero.						99	R			ToD
Slam	Ability					Fury	Neutral			Warrior	3		Your hero deals melee damage to target hero or ally equal to 1 plus the ATK of a Melee weapon you control						100	U			ToD
Twisted Rampage	Ability					Fury	Neutral			Warrior	3		"As an additional cost to play this ability, destroy an ability, ally, or equipment you control.<br>Ready your hero and all Melee weapons you control. Melee weapons you control have +2 ATK, and you pay 2 less to strike with them this turn."						101	U			ToD
Frozen Frenzy	Ability					"Frost, Enhancement"	Neutral			"Death Knight, Warrior"	6		Allies you control have <b>Assault 6</b> this turn.						102	E			ToD
Council of Three Hammers	Ability						Alliance			All	9		"Put a 5 [Melee] / 5 [Health] Dwarf Warrior ally token named Muradin Bronzebeard with <b>Protector</b> and Muradin (1), a 5 [Holy] / 5 [Health] Dwarf Priest ally token named Moira Thaurissan with <b>Mend 5</b> and Moira (1), and a 5 [Nature] / 5 [Health] D"						103	E			ToD
Fool's Gold	Ability						Neutral			All			"<b>Ongoing:</b> At the end of your turn, each opponent draws a card.<br>On your turn: Destroy another ability, ally or equipment you control -> Target player gains control of this ability."						104	R			ToD
Abbie Whizzleblade	Ally			Gnome	Rogue		Alliance				6		"When this ally enters play, target hero or ally has +1 ATK and another target hero or ally has -1 ATK this turn."		6	Melee	4		105	C			ToD
Alrak Stonecrack	Ally			Dwarf	Warlock		Alliance				4		"When this ally is destroyed, put target opposing ally into its owner's hand."		4	Fire	3		106	C			ToD
Brel Blazebeard	Ally			Dwarf	Mage		Alliance				4		"<b>Elusive </b><i>(This ally can’t be attacked.)</i><br>When your hero or another ally you control deals fire ([Fire]) damage, this ally has <b><b>Assault 2</b></b> this turn. <i>(He has +2 ATK on your turn.)</i>"		2	Fire	4		107	C			ToD
Chandra Marlight	Ally			Worgen	Priest		Alliance				2		"<b>Aberration </b><i>(Prevent all non-combat damage that would be dealt to this ally.)</i><br><b>Mend 2 </b><i>(At the start of your turn, this ally may heal 2 damage from target hero or ally.)</i>"		1	Holy	3		108	C			ToD
Frizzle Stumbleshade	Ally			Gnome	Priest		Alliance				3		<b>Untargetable</b>		3	Shadow	3		109	C			ToD
Gardos Gravefang	Ally			Worgen	Death Knight		Alliance				1		"<b>Protector </b><i>(This ally may exhaust to become the defender when an opposing hero or ally attacks.)</i><br>When this ally is destroyed, you may put target card in a graveyard on the bottom of it's owners deck."		2	Melee	1		110	U			ToD
Haratha Hammerflame	Ally			Dwarf	Shaman		Alliance				2		"When this ally is destroyed, she may deal 3 fire damage to target opposing hero."		3	Fire	2		111	C			ToD
Javeer	Ally			Draenei	Death Knight		Alliance				3		"<b>Protector </b><i>(This ally may exhaust to become the defender when an opposing hero or ally attacks.)</i><br>When this ally protects for the first time each turn, ready him."		1	Melee	5		112	C			ToD
Jerrak Krandle	Ally			Human	Paladin		Alliance				3		"<b>Protector </b><i>(This ally may exhaust to become the defender when an opposing hero or ally attacks.)</i><br><b>Stash </b><i>(As this enters your resource row, you may have it enter face up. Immediately turn it face down.)</i> Add an heirloom counter "		3	Melee	3		113	U			ToD
Jessa the Lifebound	Ally			Worgen	Druid		Alliance				5		"<b>Protector</b><br>When this ally is destroyed, put three 1 [Melee] / 1 [Health] Treant ally tokens into play."		5	Arcane	5		114	R			ToD
Kalan Howland	Ally			Worgen	Rogue		Alliance				3		"When this ally is destroyed, target player discards a card."		3	Nature	2		115	C			ToD
Kelsa Wildfire	Ally			Worgen	Mage		Alliance				1		<b>Ferocity </b><i>(This ally can attack immediately.)</i>		1	Fire	2		116	C			ToD
Knight Karia	Ally			Human	Warrior		Alliance				2		<b>Protector </b><i>(This ally may exhaust to become the defender when an opposing hero or ally attacks.)</i>		4	Melee	1		117	C			ToD
Lord Darius Crowley	Ally			Worgen	Warrior		Alliance				7		"<b>Aberration</b><br>When this ally enters play, you may howl. If you do, put three 1 [Melee] / 1 [Health] Worgen ally tokens into play with <b>Ferocity</b>."		7	Melee	4		118	R			ToD
Lyrana of Eldre'Thalas	Ally			Night Elf	Mage		Alliance				7		"When this ally enters play, she deals fire damage to each opposing hero and ally equal to the number of [Fire] cards you control.<br><b>Stash:</b> Fire [Fire] damage that your hero and allies you control would deal is unpreventable this turn."		6	Fire	4		119	R			ToD
Maurice Steelson	Ally			Worgen	Warrior		Alliance				4		"<b>Protector</b><br>When this ally enters play, your hero and allies you control have <b>Assault 1</b> this turn."		1	Melee	4		120	U			ToD
Prince Anduin Wrynn	Ally			Human	Priest		Alliance	Anduin (1)			7		Friendly Humans can protect this ally.<br>Other friendly allies have +1 / +1 for each different card type you control.		2	Holy	5		121	E			ToD
Roger Ulric	Ally			Worgen	Hunter		Alliance				5				6	Ranged	4		122	C			ToD
Stacia Markton	Ally			Human	Hunter		Alliance				5		"When this ally enters play, target hero or ally you control has <b>Long-Range</b> this turn."		5	Nature	1		123	U			ToD
Stargazer Ronal	Ally			Worgen	Druid		Alliance				4		"When this ally is destroyed, you may shuffle target player's graveyard into his deck."		4	Arcane	4		124	C			ToD
Tania Falan	Ally			Worgen	Mage		Alliance				2		"When this ally enters play, you may draw a card. If you do, discard a card."		2	Arcane	3		125	U			ToD
Vakus the Inferno	Ally			Worgen	Warlock		Alliance				1		"<b>Aberration</b>, <b>Ferocity</b><br>This ally can attack only heroes.<br>At the end of your turn, destroy this ally."		4	Fire	1		126	R			ToD
Windspeaker Nuvu	Ally			Draenei	Shaman		Alliance				1		"When this ally attacks for the first time each turn, ready him."		1	Nature	2		127	C			ToD
Abysswalker Rakax	Ally			Goblin	Warlock		Horde				2		"When this ally enters play, he may deal 1 fire damage to target ally. If that ally has fatal damage, remove it from the game."		3	Fire	1		128	U			ToD
Azami'tal the Flamebender	Ally			Troll	Warlock		Horde				6		"When this ally enters play, he deals X fire damage to target hero or ally, where X is the cost of another [Fire] ally or equipment you control.<br><b>Stash:</b> If an opposing non-hero card would be destroyed this turn, remove it from the game instead."		5	Fire	5		129	R			ToD
Azizi Daggerflick	Ally			Goblin	Rogue		Horde				4		<b>Time is Money </b><i>(This ally may use [Exhaust] powers immediately.)</i><br>[Exhaust] -> Exhaust target ally with cost 4 or more.		2	Nature	5		130	C			ToD
Banok Sunrock	Ally			Tauren	Paladin		Horde				4		<b>Protector </b><i>(This ally may exhaust to become the defender when an opposing hero or ally attacks.)</i>		4	Holy	4		131	C			ToD
Blood Knight Adrenna	Ally			Blood Elf	Paladin		Horde				3		"<b>Protector</b><br>When this ally is destroyed, prevent all damage that would be dealt to target ally you control this turn."		2	Melee	4		132	U			ToD
Commander Molotov	Ally			Goblin	Warrior		Horde	Molotov (1)			6		"<b>Time is Money</b><br>[Exhaust], Destroy another ally you control -> This ally deals fire damage to target hero or ally equal to that destroyed ally's cost."		3	Melee	8		133	R			ToD
Dagax the Butcher	Ally			Goblin	Rogue		Horde				2		"<b>Ferocity</b>, <b>Stealth</b><br>This ally can attack only heroes.<br>At the end of your turn, destroy this ally."		5	Melee	1		134	R			ToD
Falixia Frizzleblast	Ally			Goblin	Mage		Horde				5		<b>Elusive </b><i>(This ally can’t be attacked.)</i>		4	Arcane	4		135	C			ToD
Flamebringer Gaxix	Ally			Goblin	Mage		Horde				6		This ally has +2 / +2 while you control another [Fire] card.		6	Fire	5		136	U			ToD
Gavin Haverston	Ally			Undead	Hunter		Horde				1		"This ally has <b>Ferocity</b> and <b>Long-Range</b> while an opponent controls more allies than you. <i>(This ally can attack immediately, and when he attacks, defenders deal no combat damage to him.)</i>"		1	Fire	2		137	C			ToD
Gerwixicks	Ally			Goblin	Shaman		Horde				2		"When an ally you control deals fire ([Fire]) damage, your hero has <b>Assault 1</b> this turn."		2	Fire	2		138	C			ToD
Gollom Skybang	Ally			Goblin	Hunter		Horde				2		"When this ally is destroyed, you may turn target face-up resource face down."		3	Fire	2		139	C			ToD
Gordash Firetooth	Ally			Orc	Mage		Horde				5				9	Fire	1		140	C			ToD
High Chieftain Baine Bloodhoof	Ally			Tauren	High Chieftain		Horde	Baine (1)			7		<b>Protector</b><br>Prevent all damage that would be dealt to this ally while you control another [Horde] ally.		7	Melee	7		141	E			ToD
